2026-04-21 17:46:22 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564440KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:46:28 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564456KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:46:35 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564456KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:46:41 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564536KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:46:47 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564460KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:46:53 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564480KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:46:59 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564512KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:47:05 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564540KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:47:11 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564708KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:47:17 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564852KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:47:23 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564736KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:47:29 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564808KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:47:35 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564752KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:47:41 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564836KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:47:47 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564780KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:47:53 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564852KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:47:59 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564852KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:48:05 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=565092KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:48:11 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564856KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:48:17 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564820KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:48:23 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564892KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
